Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
150,-0.597646063,41.45120356,0.196457076,29.68551244,32.7852998,34.20492651,36.4883841,41.45120356,47.58733475,51.50233832,54.45489116,62.93018682,88.11765523
151,-0.575927588,41.92267249,0.197317109,29.94903109,33.10735831,34.55301771,36.87716292,41.92267249,48.14861248,52.11298659,55.09844258,63.64653806,88.85001946
152,-0.55447479,42.40939841,0.198097404,30.22531228,33.44320241,34.91527502,37.28060366,42.40939841,48.72503932,52.73829115,55.75609404,64.37472192,89.5862564
153,-0.533366661,42.91041239,0.19879516,30.5140252,33.79232563,35.29111207,37.69799373,42.91041239,49.31538384,53.37689571,56.42642079,65.11325491,90.32597033
154,-0.51266531,43.42480264,0.199405395,30.81499654,34.15436093,35.68007161,38.12873047,43.42480264,49.91838576,54.02734758,57.10784396,65.86029781,91.06743422
155,-0.492465515,43.95145329,0.199919758,31.12817588,34.52897441,36.08168889,38.57213959,43.95145329,50.53243308,54.6877584,57.79829088,66.61337403,91.80800705
156,-0.472815805,44.4895705,0.200332289,31.45359907,34.915985,36.49568167,39.02777553,44.4895705,51.15633424,55.35671111,58.49619156,67.37056203,92.54536645
157,-0.453738945,45.03814028,0.200638596,31.79106462,35.31498024,36.92153874,39.4949673,45.03814028,51.78867748,56.03256334,59.19974362,68.12966954,93.27661297
158,-0.435230426,45.59612382,0.200835379,32.14028285,35.72548044,37.35869031,39.97299797,45.59612382,52.42803895,56.7136601,59.90712691,68.88844726,93.99845524
159,-0.417282904,46.16209391,0.200922009,32.50057279,36.14660683,37.80616612,40.46075048,46.16209391,53.07263929,57.398021,60.61622261,69.64444039,94.70777367
160,-0.399904735,46.73377594,0.200900673,32.87055558,36.57672674,38.2622204,40.95630281,46.73377594,53.71983733,58.0828145,61.32407803,70.3944487,95.40122683
161,-0.383091328,47.30888092,0.200772044,33.24890989,37.01425274,38.72514536,41.45775723,47.30888092,54.36691254,58.76507802,62.02756517,71.13494407,96.07448862
162,-0.36685553,47.88531985,0.20053719,33.63447869,37.45776115,39.19339914,41.96338854,47.88531985,55.01140089,59.44215309,62.72390123,71.86288301,96.72426743
163,-0.351209479,48.46162955,0.200194434,34.02670558,37.90644209,39.66605808,42.47209476,48.46162955,55.65145262,60.11197979,63.41088593,72.57573913,97.34745091
164,-0.33618081,49.03631709,0.199743032,34.42500584,38.35944552,40.14215573,42.98273061,49.03631709,56.28522959,60.77254838,64.08640363,73.27119096,97.94161854
165,-0.321749583,49.60813055,0.19918404,34.82876839,38.81597716,40.62081655,43.49429449,49.60813055,56.91121924,61.42220723,64.74871032,73.94727677,98.50429673
166,-0.307917673,50.17568092,0.198520407,35.23721436,39.27506698,41.10098965,44.00561517,50.17568092,57.52784575,62.05930519,65.39611797,74.60228051,99.03401546
