Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
135,1,146.5951,0.04571,133.9921615,138.0075998,139.6501029,142.0754372,146.5951,151.1147628,153.5400971,155.1826002,159.1980385,167.3023203
136,1,147.1262,0.04567,134.4886709,138.5151301,140.1621413,142.5941323,147.1262,151.6582677,154.0902587,155.7372699,159.7637291,167.8902544
137,1,147.6548,0.04562,134.9857517,139.0222533,140.6733723,143.111429,147.6548,152.198171,154.6362277,156.2873467,160.3238483,168.4706418
138,1,148.1804,0.04557,135.4801891,139.5266195,141.1817998,143.6258534,148.1804,152.7349466,155.1790002,156.8341805,160.8806109,169.0474434
139,1,148.7023,0.04552,135.9713422,140.0275688,141.6867563,144.136727,148.7023,153.267873,155.7178437,157.3770312,161.4332578,169.6198621
140,1,149.2197,0.04546,136.4612847,140.5262596,142.1890255,144.6442802,149.2197,153.7951198,156.2503745,157.9131404,161.9781153,170.182376
141,1,149.7322,0.04541,136.9440463,141.0184962,142.6851378,145.1461154,149.7322,154.3182846,156.7792622,158.4459038,162.5203537,170.7437377
142,1,150.239,0.04535,137.4245162,141.5073552,143.1774283,145.6434729,150.239,154.8345271,157.3005717,158.9706448,163.0534838,171.2937992
143,1,150.7394,0.04529,137.8992457,141.9902636,143.6636823,146.134667,150.7394,155.344133,157.8151177,159.4885364,163.5795543,171.8363771
144,1,151.2327,0.04523,138.3675921,142.4665605,144.1432313,146.6190181,151.2327,155.8463819,158.3221687,159.9988395,164.0978079,172.370677
145,1,151.7182,0.04516,138.831766,142.9375291,144.6169793,147.0968701,151.7182,156.3395299,158.8194207,160.4988709,164.604634,172.8912169
146,1,152.1951,0.0451,139.2853345,143.3985313,145.0810222,147.565403,152.1951,156.824797,159.3091778,160.9916687,165.1048655,173.4064515
147,1,152.6628,0.04503,139.7334614,143.8528944,145.5379362,148.0260837,152.6628,157.2995163,159.7876638,161.4727056,165.5921386,173.9063111
148,1,153.1206,0.04497,140.1697686,144.2960494,145.9838924,148.476176,153.1206,157.765024,160.2573076,161.9451506,166.0714314,174.3994248
149,1,153.5678,0.0449,140.5993628,144.7312531,146.4213905,148.9170622,153.5678,158.2185378,160.7142095,162.4043469,166.5362372,174.8755519
150,1,154.0041,0.04483,141.0190938,145.1562631,146.8485599,149.3474202,154.0041,158.6607798,161.1596401,162.8519369,166.9891062,175.3390756
151,1,154.429,0.04476,141.4284994,145.5706054,147.2649216,149.7667636,154.429,159.0912364,161.5930784,163.2873946,167.4295006,175.7894337
152,1,154.8423,0.04468,141.8303041,145.9760726,147.671887,150.1759412,154.8423,159.5086588,162.012713,163.7085274,167.8542959,176.2216209
153,1,155.2437,0.04461,142.2184116,146.3684153,148.065962,150.5725742,155.2437,159.9148258,162.421438,164.1189847,168.2689884,176.6448611
154,1,155.633,0.04454,142.5955384,146.7494206,148.4485538,150.9575087,155.633,160.3084913,162.8174462,164.5165794,168.6704616,177.0541622
155,1,156.0101,0.04446,142.9645224,147.1209904,148.8211813,151.3316981,156.0101,160.6885019,163.1990187,164.8992096,169.0556776,177.4445973
156,1,156.3748,0.04439,143.3193137,147.4789388,149.1804211,151.6928447,156.3748,161.0567553,163.5691789,165.2706612,169.4302863,177.8255776
157,1,156.7269,0.04431,143.6655991,147.8270768,149.5293169,152.0428594,156.7269,161.4109406,163.9244831,165.6267232,169.7882009,178.1872313
158,1,157.0666,0.04423,144.000622,148.1635899,149.8664395,152.3808821,157.0666,161.7523179,164.2667605,165.9696101,170.132578,178.534616
159,1,157.3936,0.04415,144.3241017,148.4881912,150.1914996,152.7066197,157.3936,162.0805803,164.5957004,166.2990088,170.4630983,178.8674001
160,1,157.7082,0.04408,144.6333414,148.7991387,150.5031457,153.0192974,157.7082,162.3971026,164.9132543,166.6172613,170.7830586,179.1908073
161,1,158.0102,0.044,144.9340787,149.1002784,150.8044499,153.3208445,158.0102,162.6995555,165.2159501,166.9201216,171.0863213,179.4948819
162,1,158.2997,0.04392,145.2234395,149.3896835,151.0938732,153.6102946,158.2997,162.9891054,165.5055268,167.2097165,171.3759605,179.7846106
163,1,158.5771,0.04384,145.5017851,149.6677278,151.3717943,153.8880337,158.5771,163.2661663,165.7824057,167.4864722,171.6524149,180.060457
164,1,158.8425,0.04376,145.7692018,149.934502,151.6383056,154.154157,158.8425,163.530843,166.0466944,167.750498,171.9157982,180.3225435
165,1,159.0961,0.04369,146.0228755,150.1881522,151.8919462,154.4077834,159.0961,163.7844166,166.3002538,168.0040478,172.1693245,180.5760223
166,1,159.3382,0.04361,146.2690563,150.4330328,152.136295,154.6513468,159.3382,164.0250532,166.540105,168.2433672,172.4073437,180.8114174
167,1,159.5691,0.04353,146.5050269,150.6673878,152.3699892,154.8840652,159.5691,164.2541348,166.7682108,168.4708122,172.6331731,181.0339862
168,1,159.789,0.04345,146.7309659,150.8914027,152.593217,155.1061309,159.789,164.4718691,166.984783,168.6865973,172.8470341,181.2439639
169,1,159.9983,0.04337,146.9472357,151.1054519,152.8063578,155.3179305,159.9983,164.6786695,167.1902422,168.8911481,173.0493643,181.4418122
170,1,160.1971,0.0433,147.1509104,151.3075734,153.0078441,155.5184786,160.1971,164.8757214,167.3863559,169.0866266,173.2432896,181.6326028
171,1,160.3857,0.04322,147.3482833,151.5021512,153.2012785,155.7102248,160.3857,165.0611752,167.5701215,169.2692488,173.4231167,181.8067885
172,1,160.5643,0.04314,147.5365243,151.6873205,153.3851913,155.8922822,160.5643,165.2363178,167.7434087,169.4412795,173.5920757,181.9695478
173,1,160.7332,0.04307,147.7128816,151.8613018,153.5582008,156.0638566,160.7332,165.4025434,167.9081992,169.6050982,173.7535184,182.1261951
174,1,160.8927,0.04299,147.8836697,152.0284934,153.7239212,156.2274047,160.8927,165.5579953,168.0614788,169.7569066,173.9017303,182.2671483
175,1,161.043,0.04292,148.0430194,152.1849597,153.8792081,156.3809501,161.043,165.7050499,168.2067919,169.9010403,174.0429806,182.4025793
176,1,161.1845,0.04284,148.1973493,152.3352019,154.0277782,156.5270512,161.1845,165.8419488,168.3412218,170.0337981,174.1716507,182.522999
177,1,161.3176,0.04277,148.3409634,152.4754661,154.1666721,156.6639217,161.3176,165.9712783,168.4685279,170.1597339,174.2942366,182.6388239
178,1,161.4425,0.0427,148.4770711,152.6080029,154.2977482,156.792841,161.4425,166.092159,168.5872518,170.2769971,174.4079289,182.7453092
179,1,161.5596,0.04263,148.606037,152.7331882,154.4213871,156.9141964,161.5596,166.2050036,168.6978129,170.3860118,174.513163,182.8429129
180,1,161.6692,0.04255,148.7311748,152.8533754,154.5395494,157.0293685,161.6692,166.3090315,168.7988506,170.4850246,174.6072252,182.9269836
181,1,161.7717,0.04248,148.8467701,152.9647984,154.6492657,157.1365647,161.7717,166.4068353,168.8941343,170.5786016,174.6966299,183.0079674
182,1,161.8673,0.04241,148.9560427,153.0697148,154.7524002,157.237068,161.8673,166.497532,168.9821998,170.6648852,174.7785573,183.0811026
183,1,161.9564,0.04235,149.0563121,153.1664255,154.8476552,157.3301736,161.9564,166.5826264,169.0651448,170.7463745,174.8564879,183.1518508
184,1,162.0393,0.04228,149.1539424,153.2593625,154.9386725,157.4183561,162.0393,166.6602439,169.1399275,170.8192375,174.9246576,183.2105483
185,1,162.1164,0.04221,149.2462549,153.3468282,155.0241555,157.5009117,162.1164,166.7318883,169.2086445,170.8859718,174.9865451,183.2626534
186,1,162.188,0.04214,149.3335236,153.4291047,155.10439,157.5781308,162.188,166.7978692,169.27161,170.9468953,175.0424764,183.3085089
187,1,162.2542,0.04208,149.4127869,153.5042058,155.1777886,157.6490155,162.2542,166.8593845,169.3306114,171.0041942,175.0956131,183.3532454
188,1,162.3154,0.04201,149.490513,153.5766665,155.2480955,157.7161421,162.3154,166.9146579,169.3827045,171.0541335,175.140287,183.3872922
