Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
3.909650924,-0.0124,16.6492,0.09173,14.01350138,14.80390564,15.14008903,15.65068904,16.6492,17.7122565,18.31078602,18.72771771,19.7879303,22.1166018
3.942505133,-0.0148,16.657,0.09171,14.02109186,14.8114652,15.14765958,15.65830412,16.657,17.72039677,18.31918323,18.73632179,19.79716351,22.12773452
3.975359343,-0.0173,16.6647,0.09168,14.02888232,14.81913587,15.1553031,15.66593394,16.6647,17.72831413,18.32728821,18.74458533,19.80593354,22.13813718
4.008213553,-0.0197,16.6722,0.09166,14.0362209,14.82642929,15.1626014,15.67326742,16.6722,17.73613477,18.3353548,18.75285117,19.81480936,22.14887227
4.041067762,-0.0222,16.6795,0.09163,14.04367525,14.83374493,15.16988177,15.68052167,16.6795,17.74362601,18.34301896,18.76066367,19.82310255,22.15874296
4.073921971,-0.0246,16.6868,0.09161,14.05084601,14.84086107,15.17699869,15.68766752,16.6868,17.75123344,18.35086493,18.76870378,19.83173985,22.16921322
4.106776181,-0.027,16.6939,0.09158,14.05811179,14.84798927,15.18409092,15.69473121,16.6939,17.75850793,18.35829994,18.77627724,19.8397643,22.17872787
4.13963039,-0.0293,16.7009,0.09156,14.06500972,14.85482896,15.19092867,15.7015924,16.7009,17.76579238,18.36580704,18.78396616,19.84801459,22.18871049
4.172484599,-0.0317,16.7077,0.09153,14.07202339,14.86169093,15.19774857,15.70837446,16.7077,17.77274718,18.37291125,18.79120111,19.85568105,22.19782567
4.205338809,-0.034,16.7144,0.09151,14.07866913,14.86826428,15.20431391,15.71495396,16.7144,17.77971206,18.3800878,18.79855185,19.86357395,22.20741017
4.238193018,-0.0364,16.721,0.09148,14.08551479,14.87494889,15.2109524,15.72154837,16.721,17.78645356,18.3869712,18.80556079,19.87100128,22.21625871
4.271047228,-0.0387,16.7274,0.09146,14.09190822,14.88125583,15.21724527,15.72784614,16.7274,17.7930989,18.39381723,18.81257339,19.8785368,22.22544505
4.303901438,-0.041,16.7337,0.09143,14.09848089,14.8876639,15.22360453,15.73415588,16.7337,17.79951735,18.40036159,18.81923087,19.88557652,22.23380392
4.336755647,-0.0433,16.7399,0.09141,14.10470616,14.89379334,15.22971586,15.7402659,16.7399,17.80594954,18.40698708,18.8260178,19.89287349,22.24272484
4.369609856,-0.0455,16.746,0.09139,14.1108267,14.89982386,15.23572959,15.74627906,16.746,17.8122718,18.41349405,18.83267897,19.90002163,22.25142311
4.402464066,-0.0478,16.7519,0.09136,14.11706283,14.90587671,15.24172559,15.7522132,16.7519,17.81826402,18.41959739,18.83888514,19.906584,22.25924907
4.435318275,-0.05,16.7577,0.09134,14.12293085,14.91164068,15.24746674,15.75794455,16.7577,17.82426679,18.42577389,18.8452082,19.91337476,22.26754879
4.468172484,-0.0522,16.7634,0.09131,14.12897808,14.91750584,15.25327438,15.76368798,16.7634,17.83004238,18.43164821,18.85117544,19.91966833,22.27501731
4.501026694,-0.0545,16.7689,0.09129,14.13461407,14.92301332,15.25874968,15.76914047,16.7689,17.83572907,18.43750257,18.85717344,19.92613144,22.28300888
4.533880903,-0.0566,16.7743,0.09127,14.14012469,14.9284117,15.26412057,15.77449309,16.7743,17.84130245,18.44323012,18.86303268,19.93241593,22.29068684
4.566735113,-0.0588,16.7797,0.09125,14.14565597,14.93382036,15.26949838,15.7798488,16.7797,17.84687906,18.44896575,18.86890464,19.93872986,22.29845564
