Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
156,-0.345210144,47.13515671,0.199268082,33.13447293,36.90262108,38.61037797,41.33211029,47.13515671,54.08957056,58.39786276,61.58119473,70.41196986,94.19002253
157,-0.347284273,47.51529674,0.19814855,33.46814785,37.2515544,38.96550818,41.69625813,47.51529674,54.4837187,58.79818319,61.98495152,70.82069814,94.58407611
158,-0.350264395,47.88426191,0.196983386,33.79943614,37.59556978,39.31460717,42.05265294,47.88426191,54.86310614,59.18183188,62.3707854,71.20877627,94.95579433
159,-0.354110446,48.24219877,0.195777188,34.12811476,37.9345432,39.65759661,42.40128929,48.24219877,55.22804696,59.54921478,62.73916313,71.57680329,95.30581645
160,-0.358786383,48.5893358,0.19453376,34.45405381,38.26844294,39.9944895,42.74225085,48.5893358,55.57892521,59.90079918,63.090606,71.92541332,95.63477491
161,-0.364237798,48.92581644,0.193258482,34.77692177,38.59706974,40.32514619,43.07549158,48.92581644,55.91608497,60.23703533,63.4256327,72.25526658,95.94332649
162,-0.370433285,49.25182046,0.191956652,35.09644681,38.92027026,40.64946843,43.40100191,49.25182046,56.23992628,60.55845302,63.74486471,72.56721716,96.23276818
163,-0.377356564,49.5674775,0.190636005,35.41219321,39.2377453,40.96722333,43.71865948,49.5674775,56.55090266,60.86571515,64.04912293,72.86253567,96.50563529
164,-0.384989222,49.87292192,0.189302333,35.72382163,39.54927483,41.2782475,44.02839365,49.87292192,56.84940108,61.15936645,64.3390686,73.142204,96.76374241
165,-0.393305223,50.16843382,0.187964223,36.03090409,39.85460767,41.58237388,44.33017572,50.16843382,57.13608941,61.44032169,64.61580134,73.40784274,97.01015508
166,-0.40230302,50.45460606,0.186627332,36.3334455,40.15389419,41.87982228,44.62434013,50.45460606,57.411891,61.70971871,64.88062187,73.66122308,97.24805218
