Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
92,1,125.4545,0.04406,115.0583658,118.3706913,119.7255882,121.7262409,125.4545,129.1827591,131.1834118,132.5383087,135.8506342,142.5358372
93,1,125.9104,0.04414,115.4575415,118.78794,120.1502296,122.1617984,125.9104,129.6590016,131.6705704,133.03286,136.3632585,143.0849379
94,1,126.364,0.04422,115.8544712,119.2029256,120.5726008,122.5950753,126.364,130.1329247,132.1553992,133.5250744,136.8735288,143.6316498
95,1,126.8156,0.0443,116.2494311,119.6159316,120.9929886,123.0263631,126.8156,130.6048369,132.6382114,134.0152684,137.3817689,144.1763121
96,1,127.2651,0.04438,116.6423304,120.0268645,121.4112982,123.4555649,127.2651,131.0746351,133.1189018,134.5033355,137.8878696,144.7188097
97,1,127.7129,0.04446,117.0335366,120.4361021,121.8279115,123.8830693,127.7129,131.5427307,133.5978885,134.9896979,138.3922634,145.2595961
98,1,128.159,0.04454,117.4230504,120.843645,122.242829,124.3088764,128.159,132.0091236,134.075171,135.474355,138.8949496,145.7986698
99,1,128.6034,0.04462,117.8108727,121.2494935,122.6560512,124.7329865,128.6034,132.4738135,134.5507488,135.9573065,139.3959273,146.3360297
100,1,129.0466,0.0447,118.1974621,121.6541197,123.0680552,125.1558848,129.0466,132.9373152,135.0251448,136.4390803,139.8957379,146.8722436
101,1,129.4887,0.04478,118.5829108,122.0576181,123.4789369,125.5776685,129.4887,133.3997315,135.4984631,136.9197819,140.3944892,147.4074243
102,1,129.93,0.04487,118.9650502,122.4586068,123.8876357,125.9977523,129.93,133.8622477,135.9723643,137.4013932,140.8949498,147.945928
103,1,130.3705,0.04495,119.3487599,122.8604105,124.2968408,126.4178862,130.3705,134.3231138,136.4441592,137.8805895,141.3922401,148.4797371
104,1,130.8103,0.04503,119.7316963,123.2614643,124.7053054,126.8372938,130.8103,134.7833062,136.9152946,138.3591357,141.8889037,149.0129667
105,1,131.2495,0.04511,120.1139512,123.6618626,125.1131252,127.2560722,131.2495,135.2429278,137.3858748,138.8371374,142.3850488,149.5457301
106,1,131.6884,0.04519,120.4957995,124.0618882,125.5205861,127.6745123,131.6884,135.7022877,137.8562139,139.3149118,142.8810005,150.0783687
107,1,132.1269,0.04527,120.8771498,124.461447,125.9275931,128.0925173,132.1269,136.1612827,138.3262069,139.792353,143.3766502,150.6107684
108,1,132.5652,0.04535,121.2581851,124.8607275,126.3343368,128.5102811,132.5652,136.6201189,138.7960632,140.2696725,143.8722149,151.1431569
109,1,133.0031,0.04543,121.6387228,125.2595415,126.7406266,128.9276098,133.0031,137.0785902,139.2655734,140.7466585,144.3674772,151.6753059
110,1,133.4404,0.04551,122.01858,125.6577006,127.1462721,129.3443097,133.4404,137.5364903,139.7345279,141.2230994,144.86222,152.2069871
111,1,133.877,0.04559,122.3976657,126.055111,127.5511781,129.7602839,133.877,137.9937161,140.2028219,141.698889,145.3563343,152.7380859
112,1,134.313,0.04566,122.7785976,126.4535882,127.9568322,130.1765354,134.313,138.4494646,140.6691678,142.1724118,145.8474024,153.2645653
113,1,134.7483,0.04574,123.1562407,126.8496014,128.3603597,130.5911585,134.7483,138.9054415,141.1362403,142.6469986,146.3403593,153.7945984
114,1,135.1829,0.04582,123.533113,127.2448665,128.7631482,131.0050562,135.1829,139.3607438,141.6026518,143.1209335,146.832687,154.3240476
115,1,135.6168,0.04589,123.9117657,127.6411216,129.1666035,131.4191434,135.6168,139.8144566,142.0669965,143.5924784,147.3218343,154.8487215
116,1,136.0501,0.04597,124.2871972,128.0349906,129.5680144,131.8316906,136.0501,140.2685094,142.5321856,144.0652094,147.8130028,155.3771023
117,1,136.4829,0.04604,124.6646085,128.4300494,129.9702918,132.2446272,136.4829,140.7211728,142.9955082,144.5357506,148.3011915,155.9009084
118,1,136.9153,0.04612,125.0389655,128.8228995,130.3707065,132.6562118,136.9153,141.1743882,143.4598935,145.0077005,148.7916345,156.4286758
119,1,137.3474,0.04619,125.4155016,129.2171389,130.7721874,133.0683855,137.3474,141.6264145,143.9226126,145.4776611,149.2792984,156.9520699
120,1,137.7795,0.04626,125.791924,129.6113008,131.1736056,133.4805184,137.7795,142.0784816,144.3853944,145.9476992,149.767076,157.4756508
121,1,138.2119,0.04633,126.1685065,130.0056674,131.5752467,133.8929011,138.2119,142.5308989,144.8485533,146.4181326,150.2552935,157.9997617
122,1,138.6452,0.0464,126.5457965,130.4008028,131.9776817,134.3061148,138.6452,142.9842852,145.3127183,146.8895972,150.7446035,158.5250887
123,1,139.0797,0.04647,126.9240676,130.7969891,132.3811961,134.72045,139.0797,143.43895,145.7782039,147.3624109,151.2353324,159.0519754
124,1,139.5158,0.04654,127.3036842,131.194602,132.7861703,135.136294,139.5158,143.895306,146.2454297,147.836998,151.7279158,159.5808803
125,1,139.954,0.04661,127.6851019,131.5941111,133.1930797,135.5541307,139.954,144.3538693,146.7149203,148.3138889,152.2228981,160.1123762
126,1,140.3948,0.04667,128.0714165,131.9977854,133.6038549,135.9753912,140.3948,144.8142088,147.1857451,148.7918146,152.7181835,160.6426983
127,1,140.8387,0.04674,128.4578103,132.4025013,134.0160654,136.3986683,140.8387,145.2787317,147.6613346,149.2748987,153.2195897,161.1810838
128,1,141.2859,0.0468,128.8497539,132.8120502,134.4328157,136.8260523,141.2859,145.7457477,148.1389843,149.7597498,153.7220461,161.7190726
129,1,141.7368,0.04686,129.2449705,133.2250082,134.8530308,137.2569831,141.7368,146.2166169,148.6205692,150.2485918,154.2286295,162.2614631
