Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
99.5,-0.3833,14.8882,0.09057,12.62344458,13.28993094,13.5766101,14.01579132,14.8882,15.83755558,16.3817693,16.76511551,17.75608179,20.01800785
100,-0.3833,15.0267,0.09069,12.73817739,13.41158801,13.70126388,14.14505688,15.0267,15.98621201,16.53629681,16.92379952,17.92558875,20.21262381
100.5,-0.3833,15.1676,0.09083,12.85444148,13.53501872,13.82779901,14.27637277,15.1676,16.13766941,16.69386446,17.08569616,18.09876912,20.41204259
101,-0.3833,15.3108,0.09096,12.97282537,13.66062644,13.95653467,14.40992398,15.3108,16.29149082,16.85382993,17.25001318,18.27442365,20.61403467
101.5,-0.3833,15.4564,0.0911,13.09295649,13.78816575,14.08728324,14.54561498,15.4564,16.44800734,17.01666514,17.41732531,18.45340613,20.82016008
102,-0.3833,15.6046,0.09125,13.21499645,13.91780928,14.22022216,14.68363068,15.6046,16.60743584,17.18259683,17.58786631,18.6359688,21.03071509
102.5,-0.3833,15.7553,0.09139,13.33932322,14.04980649,14.35554244,14.82406891,15.7553,16.76944236,17.35114844,17.7610555,18.82124832,21.24412043
103,-0.3833,15.9087,0.09155,13.46539832,14.18381754,14.49299456,14.96682411,15.9087,16.93458817,17.52310142,17.9378351,19.01062333,21.46286002
103.5,-0.3833,16.0645,0.0917,13.59367224,14.32009063,14.63273486,15.11190634,16.0645,17.10220727,17.69756693,18.11715368,19.20260134,21.68432622
104,-0.3833,16.2229,0.09186,13.72383514,14.45845325,14.77465323,15.25930485,16.2229,17.27274857,17.87514551,18.29972242,19.39819384,21.91029037
104.5,-0.3833,16.3837,0.09203,13.85570924,14.5987208,14.91856219,15.40882788,16.3837,17.44600358,18.05562401,18.48532501,19.59717665,22.14051229
105,-0.3833,16.547,0.09219,13.98986385,14.74133738,15.06484863,15.56077079,16.547,17.6218398,18.23872758,18.67358238,19.79888685,22.37360536
105.5,-0.3833,16.7129,0.09236,14.12589057,14.88603101,15.21330268,15.71502282,16.7129,17.80060697,18.4249584,18.86510814,20.0042409,22.61125511
106,-0.3833,16.8814,0.09254,14.26378036,15.03279498,15.36391872,15.87158012,16.8814,17.98230978,18.61432413,19.05991212,20.21325467,22.85349335
106.5,-0.3833,17.0527,0.09271,14.4042008,15.18217267,15.51718322,16.03083795,17.0527,18.16691506,18.80664846,19.2577131,20.42536066,23.09901997
107,-0.3833,17.2269,0.09289,14.54672872,15.33388113,15.67287712,16.19267925,17.2269,18.35478026,19.00244612,19.45914082,20.64150141,23.3495729
107.5,-0.3833,17.4039,0.09307,14.69152895,15.48801398,15.83106165,16.35711363,17.4039,18.54567572,19.20140841,19.66382882,20.86115359,23.60423112
108,-0.3833,17.5839,0.09326,14.83850657,15.64455582,15.99175753,16.52421928,17.5839,18.73994524,19.40396668,19.87227237,21.08498595,23.8641026
108.5,-0.3833,17.7668,0.09344,14.98809526,15.80379747,16.15519039,16.69411779,17.7668,18.93722576,19.60959707,20.08383,21.31203693,24.12741089
109,-0.3833,17.9526,0.09363,15.13976709,15.96535182,16.32103752,16.86658939,17.9526,19.13777891,19.81872145,20.29904091,21.54316551,24.39583153
109.5,-0.3833,18.1412,0.09382,15.29369686,16.12931991,16.48936638,17.04164797,18.1412,19.34136978,20.03102257,20.51752766,21.77783064,24.6684078
110,-0.3833,18.3324,0.09401,15.44971373,16.29552227,16.65999378,17.21910468,18.3324,19.5477863,20.24628148,20.73906649,22.01579616,24.94487559
